Location
"Select office" 
"4259 - Atlanta, GA (Cumberland)"
"4260 - Lexington, NC"
"4263 - Cadillac, MI"
"4265 - Sacramento, CA  (Natomas)"
"4266 - Stockton, CA (Sherwood Mall)"
"4267 - Conroe, TX"
"4269 - New Caney, TX"
"4272 - Greeley, CO"
"4273 - Hendersonville, TN"
"4274 - East Brunswick, NJ"
"4275 - Waynesboro, VA"
"4279 - Homewood, AL"
"4280 - Spokane, WA (South)"
"4283 - Antioch, TN"
"4286 - McHenry, IL"
"4287 - Chico, CA"
"4290 - Melbourne, FL"
"4291 - Mesquite, TX"
"4292 - Tomball, TX"
"4293 - Union, NJ"
"4294 - Ocala, FL (Southwest)"
"4299 - Stockbridge, GA"
"4303 - Valrico, FL"
"4304 - Marble Falls, TX"
"4306 - St. Charles, MO"
"4307 - Destin, FL"
"5000 - Indianapolis, IN"
"6301 - Cicero, NY"
"6302 - Auburn, NY (Obsolete)"
"6303 - Syracuse, NY"
"6304 - Utica, NY"
"6306 - Glastonbury, CT"
"6307 - Danbury, CT"
"6309 - Rochester, NY (Greece)"
"6310 - Watertown, NY"
"6311 - Rochester, NY (Irondequoit)"
"6313 - Cheektowaga, NY"
"6314 - Lockport, NY"
"6316 - Tonawanda, NY"
"6317 - Blasdell, NY (Hamburg)"
"6322 - Rochester, NY (Henrietta)"
"6326 - Waterbury, CT (Chase)"
"6331 - West Haven, CT"
"6332 - Hamden, CT"
"6336 - Attleboro, MA"
"6339 - Medford, MA"
"6346 - Scranton, PA"
"6353 - Dedham, MA"
"6354 - Vestal, NY"
"6358 - Wilkes-Barre, PA"
"6365 - Hazleton, PA"
"6368 - Oswego, NY"
"6371 - Stroudsburg, PA"
"6372 - Mentor, OH"
"6373 - Mayfield Heights, OH"
"6374 - Niles, OH"
"6375 - Parma, OH"
"6377 - Poland, OH (Boardman)"
"6378 - Pottstown, PA"
"6401 - Camillus, NY"
"6404 - Brooklyn, OH"
"6405 - New Hartford, NY"
"6411 - Elyria, OH"
"6418 - Tarentum, PA (Pittsburgh Mills)"
"6419 - West York, PA"
"6422 - Wooster, OH"
"6424 - Lancaster, PA"
"6427 - Webster, NY"
"6430 - Haverhill, MA"
"6431 - Rome, NY"
"6432 - Meriden, CT"
"6438 - Fairview Park, OH"
"6443 - Muncie, IN"
"6446 - York, PA (Towne Centre)"
"6448 - South Portland, ME"
"6450 - Erie, PA"
"6461 - Auburn, NY"
"6462 - Portage, MI"
"6466 - Mishawaka, IN"
"6473 - Adrian, MI"
"6482 - Muncy, PA (Williamsport)"
"6494 - Indianapolis, IN (Castleton)"
"7300 - Dewitt, NY"
"7301 - Rochester, NY (Gates)"
"7333 - Batavia, NY"
"7334 - Fort Myers, FL (Cypress)"
"7350 - Lisbon, CT"
"7352 - Phoenix, AZ (Bell)"
"7355 - University Park, FL"
"7356 - Newburgh, NY"
"7365 - Fort Myers, FL (Palm)"
"7367 - Middletown, NY"
"7385 - Port Charlotte, FL"
"7389 - Strongsville, OH"
"7390 - Johnson City, TN"
"7392 - Canandaigua, NY"
"7405 - Morristown, TN"
"7413 - Dunkirk, NY"
"7427 - Ruskin, FL (Sun City)"
"7463 - Jackson, MI"
"7467 - Port St. Lucie, FL"
"7485 - Quakertown, PA"
8001 - Oral Health Excellence
"8106 - Massillon, OH"
"8107 - Shadyside, PA"
"8134 - Pleasant Hills, PA"
"8310 - Taylor, MI"
"8355 - Venice, FL"
"8370 - Pittsburgh, PA (South Hills/Brentwood)"
"8373 - Selma, TX"
"8410 - Monaca, PA"
"8417 - Hermitage, PA"
"8420 - New Braunfels, TX"
"8426 - Sandusky, OH"
"8490 - Goodyear, AZ"
"9004 - Fond du Lac, WI"
"9015 - Sheboygan, WI"
"9040 - Plover, WI"
"9046 - Zanesville, OH"
"9058 - Manitowoc, WI"
"9069 - Germantown, WI"
"9097 - Eau Claire, WI"
"9144 - Chillicothe, OH"
"9173 - West Bend, WI"
"9303 - Oshkosh, WI"
"9305 - Wausau, WI"
"9306 - Onalaska, WI"
"9321 - Owensboro, KY"
"9341 - Casa Grande, AZ"
"9364 - Bowling Green, KY"
"9370 - Oak Creek, WI"
"9371 - Bowling Green, OH"
"9376 - Cranberry Township, PA"
"9381 - Brookfield, WI"
"9384 - Lexington, KY"
"9387 - Phoenix, AZ (Metrocenter)"
"9412 - Lima, OH"
"9418 - Glendale, AZ (Arrowhead)"
"9420 - Elizabethtown, KY"
"9428 - Ashland, KY"
"9436 - Pleasant Prairie, WI (Kenosha)"
"9440 - Frankfort, KY"
"9451 - Phoenix, AZ (Arcadia)"
"9465 - Mount Pleasant, WI (Racine)"
