resin,brand
Denture Teeth A1,DENCTA
Denture Teeth A2,DENCTA
Denture Teeth A3,DENCTA
Denture Teeth A3.5,DENCTA
Denture Teeth B1,DENCTA
Denture Teeth B2,DENCTA
Denture Teeth B3,DENCTA
Denture Base II - Dark Pink,DENCTA
Denture Base II - Original Pink,DENCTA
Denture Base II - Light Pink,DENCTA
Denture Base II - Reddish Pink,DENCTA
